Genre,NA_sales,EU_sales,JP_sales,other_sales
Action,877.829999999993,524.999999999991,159.95,187.38
Adventure,105.8,64.1300000000001,52.0700000000002,16.8099999999999
Fighting,223.59,101.32,87.35,36.68
Misc,410.24,215.98,107.76,75.3200000000003
Platform,447.05,201.63,130.77,51.5899999999999
Puzzle,123.78,50.78,57.31,12.55
Racing,359.42,238.39,56.69,77.2700000000002
Role-Playing,327.28,188.06,352.309999999999,59.6100000000001
Shooter,582.599999999999,313.27,38.28,102.69
Simulation,183.31,113.38,63.7,31.5200000000001
Sports,683.349999999997,376.849999999997,135.37,134.970000000001
Strategy,68.7,45.34,49.46,11.3599999999999
